0,0,0,0,0,0
1,399,1,4,0,0
2,399,1,4,0,0
3,399,1,4,0,0
4,395,5,0,0,0
5,395,5,14,0,0
6,395,5,14,0,0
7,395,5,14,0,0
8,381,19,0,0,0
9,381,19,31,0,0
10,381,19,31,0,0
11,381,19,31,0,0
12,350,50,0,0,0
13,350,50,48,0,0
14,350,50,48,0,0
15,350,50,48,0,0
16,303,97,0,1,0
17,303,97,55,1,0
18,303,97,55,1,0
19,303,97,55,1,0
20,252,148,0,5,0
21,252,148,60,5,0
22,252,148,60,5,0
23,252,148,60,5,0
24,206,194,0,19,0
25,206,194,59,19,0
26,206,194,59,19,0
27,206,194,59,19,0
28,178,222,0,50,0
29,178,222,43,50,0
30,178,222,43,50,0
31,178,222,43,50,0
32,183,217,0,98,0
33,183,217,42,98,0
34,183,217,42,98,0
35,183,217,42,98,0
36,196,204,0,153,0
37,196,204,29,153,0
38,196,204,29,153,0
39,196,204,29,153,0
40,227,173,0,213,0
41,227,173,11,213,0
42,227,173,11,213,0
43,227,173,11,213,0
44,275,125,0,272,0
45,275,125,3,272,0
46,275,125,3,272,0
47,275,125,3,272,0
48,315,85,0,315,0
49,315,85,0,315,0
50,315,85,0,315,0
